title,description,marker-size,marker-color,marker-symbol,PROJECT_NAME,PROJECT_TYPE,PROJECT_TYPE_CODE,PROJECT_DESCRIPTION,LOCATION_LONGITUDE,LOCATION_LATITUDE,LOCATION_LINK,UPLOAD_PHOTO,DOC_LINK,ORGANIZATIONS,CONTACT_EMAIL,CONTACT_ORGANIZATION,CONTACT_PHONE,CONTACT_WEBSITE,SOCIAL_LINK,DATA_ENTRY_NAME,DATA_ENTRY_PHONE,PROJECT_DATE,END_DATE,DATE_NOTE
Nearshore and estuarine restoration through oyster introduction,"<h1>Nearshore and estuarine restoration through oyster introduction</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/16992"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,Nearshore and estuarine restoration through oyster introduction,River/stream/wetlands restoration/conservation/flood protection,7,"The Puget Sound Restoration Fund planted approximately 340,000 native oysters at three sites on Vashon and Maury Islands to restore nearshore and estuarine habitat on private tidelands and improve juvenile salmonid habitat and water quality.",-122.432664904,47.3925017848,,,,"Nat Fish & Wildlife Foundation, People for Puget Sound, Puget Sound Restoration Fund, Vashon-Maury Island Land Trust, Puyallup Tribe, King County",email@example.com,Puget Sound Restoration Fund,,http://waconnect.paladinpanoramic.com/project/250/16992,,Green Duwamish Watershed,555-555-5555,1/1/06,12/31/07,
Fauntleroy Creek Instream and Riparian Restoration,"<h1>Fauntleroy Creek Instream and Riparian Restoration</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/17072"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,Fauntleroy Creek Instream and Riparian Restoration,Tree planting and invasive species removal,9,The Fauntleroy Environmental Association installed large woody debris along 530 feet of degraded creek channel and revegetated the banks of Fauntleroy Creek with native plants. The project also completed a preliminary design for restoration of 240 feet of channel near the mouth of the creek.  Interpretive signs were installed upon project completion and many neighbors and volunteers were involved in the project.,-122.3887002463,47.5212314037,,,,"Nat Fish & Wildlife Foundation, Fauntleroy Community Association, King County",email@example.com,Fauntleroy Community Association,,http://waconnect.paladinpanoramic.com/project/250/17072,,Green Duwamish Watershed,555-555-5555,1/1/07,12/31/14,
Icy Creek Acquisition MG-20,"<h1>Icy Creek Acquisition MG-20</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/17098"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,Icy Creek Acquisition MG-20,River/stream/wetlands restoration/conservation/flood protection,7,"This project is identified as a priority acquisition in King County's ""Last Best Places in the Green River Watershed"", State Parks Gorge Preservation plan, by the WRIA 9 Steering Committee and by King County Executive Ron Sims.  The project would protect 270 acres of forested uplands along the last wild section of the Green River Gorge. The project would also protect the instream flows of Icy Creek.  Icy Creek is a year round spring fed stream with flows of 40-60 cubic feet per second. It has been classified as a source of clear, cold, pathogen-free water that feeds the Green River.  Chinook, coho, and steelhead spawn at the mouth of Icy Creek as it enters the Green River.  It also protects numerous spring that feed into the Green River. There are five or more springs that either directly flow into the Green River or flow into Icy Creek from the gorge walls below the Icy Creek uplands. ",-121.9806289672,47.2810944591,,,,WRIA 9 Lead Entity,email@example.com,WRIA 9 Lead Entity,,http://waconnect.paladinpanoramic.com/project/250/17098,,Green Duwamish Watershed,555-555-5555,1/1/13,12/31/15,
"Soos Creek - Lower – Channel Rehabilitation Between Creek Miles 0.0 and 0.9, MG-21","<h1>Soos Creek - Lower – Channel Rehabilitation Between Creek Miles 0.0 and 0.9, MG-21</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/17099"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,"Soos Creek - Lower – Channel Rehabilitation Between Creek Miles 0.0 and 0.9, MG-21",River/stream/wetlands restoration/conservation/flood protection,7,"This project would place large woody debris (LWD) pieces and jams along the lower 0.9 miles of Soos Creek, one of the two largest tributaries to the Green River downstream of the Howard Hanson Dam. Currently, there is a significant lack of wood in this reach. Lower Soos Creek provides overwintering refuge and year-round refuge for Green River salmonids.",-122.1727181046,47.304264024,,,,King County - WLRD - Green River Basin Steward,email@example.com,King County - WLRD - Green River Basin Steward,,http://waconnect.paladinpanoramic.com/project/250/17099,,Green Duwamish Watershed,555-555-5555,1/1/12,1/1/13,
"Frager Road Lower Riparian Improvement, RM 19.5 - 18.0 (left bank), LG-20","<h1>Frager Road Lower Riparian Improvement, RM 19.5 - 18.0 (left bank), LG-20</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/17100"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,"Frager Road Lower Riparian Improvement, RM 19.5 - 18.0 (left bank), LG-20",River/stream/wetlands restoration/conservation/flood protection,7,"This project would set back some or all of Frager Road from RM 19.5 (the pedestrian bridge over the Green) and RM 18 (S. 212th Street Bridge). The road also functions as the levee and has an overly steep bank as well as one significant slump. Presently, the road does not provide sufficient freeboard above the base flood elevation so setback would allow improved flood protection as well. Levee setback would allow restoration on the resulting excavated bench and river bank involving placement of large woody debris and planting of native vegetation. ",-122.2686338211,47.4093017709,,,,UNLISTED,email@example.com,UNLISTED,,http://waconnect.paladinpanoramic.com/project/250/17100,,Green Duwamish Watershed,555-555-5555,1/1/10,12/31/10,
"Riverview Plaza Off-Channel Habitat Rehabilitation, RM13 (Left Bank), LG-21","<h1>Riverview Plaza Off-Channel Habitat Rehabilitation, RM13 (Left Bank), LG-21</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/17101"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,"Riverview Plaza Off-Channel Habitat Rehabilitation, RM13 (Left Bank), LG-21",River/stream/wetlands restoration/conservation/flood protection,7,"This project would remove armoring on the existing shoreline, excavate approximately 1.7 acres of flood refuge for juvenile salmonid rearing habitat, install large woody debris, and plant native vegetation to create riparian wetland and upland. ",-122.2470799729,47.4594604018,,,,City of Tukwila,email@example.com,City of Tukwila,,http://waconnect.paladinpanoramic.com/project/250/17101,,Green Duwamish Watershed,555-555-5555,11/1/10,7/31/14,
"Slip 4 Restoration, RM 3.3 (Right Bank)","<h1>Slip 4 Restoration, RM 3.3 (Right Bank)</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/17102"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,"Slip 4 Restoration, RM 3.3 (Right Bank)",Water quality improvements,10,"This project will combine the cleanup of contaminated sediments with habitat restoration in the inner half of Slip 4. Slip 4 is a 3.8-acre ""early action area"" within the Lower Duwamish Waterway Superfund Site. ",-122.3204755784,47.5351406588,,,,"City of Seattle, King County",email@example.com,King County,,http://waconnect.paladinpanoramic.com/project/250/17102,,Green Duwamish Watershed,555-555-5555,1/1/10,12/31/12,
"Big Spring Creek Acquisition, MG-7","<h1>Big Spring Creek Acquisition, MG-7</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/17319"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,"Big Spring Creek Acquisition, MG-7",River/stream/wetlands restoration/conservation/flood protection,7,"Acquisition of 74 acres of land within the headwaters of Big Spring Creek.  This waterbody is an important cold-water source for Newaukum Creek and contributes significantly to the minimum autumn flows in lower Newaukum Creek where Chinook, coho, and steelhead spawn and rear.",-122.0266342163,47.2164877925,,,,"WRIA 9 Lead Entity, King County Conservation Futures, King Co Water & Land Res, King Conservation District, King County - WLRD - Green River Basin Steward, SRFB - Salmon Recovery Funding Board",email@example.com,King County - WLRD - Green River Basin Steward,,http://waconnect.paladinpanoramic.com/project/250/17319,,Green Duwamish Watershed,555-555-5555,1/1/07,12/31/13,
Kanaskat North,"<h1>Kanaskat North</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/17353"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,Kanaskat North,River/stream/wetlands restoration/conservation/flood protection,7,The purpose of the Kanaskat North acquisition project is to acquire up to 75 acres of property along a remnant historic side channel to the middle Green River just below the Tacoma headworks.  The property is mixed deciduous and young coniferous riparian forest/wetland complex that is hydraulically connected to the Green River.  ,-121.8810653687,47.3158813172,,,,"SRFB - Salmon Recovery Funding Board, King Co Water & Land Res, King County - WLRD - Green River Basin Steward",email@example.com,King County - WLRD - Green River Basin Steward,,http://waconnect.paladinpanoramic.com/project/250/17353,,Green Duwamish Watershed,555-555-5555,1/1/01,1/1/01,
Kanaskat - Middle Green,"<h1>Kanaskat - Middle Green</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/17354"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,Kanaskat - Middle Green,River/stream/wetlands restoration/conservation/flood protection,7,"The purpose of this proposal is to protect crucial fish habitat restoration projects associated with the Green/Duwamish River Ecosystem Restoration Project sponsored in partnership by the Corps, King County, and many other jurisdictions.  In order to implement this large-scale restoration effort, parcels to be restored must be publicly owned.  In the last 5 years, over 700 acres of land have been protected along the Middle Green generating a lot of momentum to preserve the remaining unprotected tracts.  However, tremendous development pressure still remains.",-121.859318018,47.3137573534,,,,"SRFB - Salmon Recovery Funding Board, King Co Water & Land Res, King County Conservation Futures, King County - WLRD - Green River Basin Steward",email@example.com,King County - WLRD - Green River Basin Steward,,http://waconnect.paladinpanoramic.com/project/250/17354,,Green Duwamish Watershed,555-555-5555,5/3/01,9/26/05,
Kanaskat - Phase 3,"<h1>Kanaskat - Phase 3</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/17355"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,Kanaskat - Phase 3,River/stream/wetlands restoration/conservation/flood protection,7,"The purpose of this proposal is to protect 48 acres with 3,800 feet of river frontage. Preserving these parcels would:",-121.8840694428,47.3139028801,,,,"SRFB - Salmon Recovery Funding Board, King Co Water & Land Res, King County - WLRD - Green River Basin Steward",email@example.com,King County - WLRD - Green River Basin Steward,,http://waconnect.paladinpanoramic.com/project/250/17355,,Green Duwamish Watershed,555-555-5555,1/1/01,1/1/01,
Porter Levee Section Removal,"<h1>Porter Levee Section Removal</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/17360"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,Porter Levee Section Removal,River/stream/wetlands restoration/conservation/flood protection,7,"The Porter Levee Section 1135 Project involves restoration of the Green River connection to an isolated side channel along the left bank of the Green River at river mile 35, just east of Auburn.  Side channel habitat allowing salmon refuge from high flows and overwintering habitat for juveniles is currently extremely limited along the middle Green River.  This project will demonstrate an approach to restoring these functions.",-122.1686535057,47.2939361989,,,,SRFB - Salmon Recovery Funding Board,email@example.com,SRFB - Salmon Recovery Funding Board,,http://waconnect.paladinpanoramic.com/project/250/17360,,Green Duwamish Watershed,555-555-5555,1/1/03,9/30/10,
North Wind's Weir Acquisition DUW-10A,"<h1>North Wind's Weir Acquisition DUW-10A</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/17361"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,North Wind's Weir Acquisition DUW-10A,River/stream/wetlands restoration/conservation/flood protection,7,"North Wind's Weir, previously known as Site 1 Duwamish, is located at river mile 6.3 along the right bank of the Duwamish River estuary.  It is important because this reach of the estuary provides the appropriate range of salinities for juvenile chinook to transition to salt water.  It also contains among the highest juvenile densities in the Duwamish. The site has been identified as important by every major habitat study of the Duwamish estuary since 1991.  The site is included in the Green Duwamish Ecosystem Restoration Study and funding for future restoration is expected to be available through the US Army Corps of Engineers.",-122.2960533666,47.5038364035,,,,"SRFB - Salmon Recovery Funding Board, Karen Bergeron, King Co Water & Land Res",email@example.com,Karen Bergeron,,http://waconnect.paladinpanoramic.com/project/250/17361,,Green Duwamish Watershed,555-555-5555,1/1/10,12/31/13,
Cecil Moses Revetment Removal and Habitat Creation,"<h1>Cecil Moses Revetment Removal and Habitat Creation</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/18854"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,Cecil Moses Revetment Removal and Habitat Creation,"Water access, trails, recreation, parks, open space",11,Cecil Moses Revetment Removal and Habitat Creation,-122.2976,47.5032,,,,"King County DNR & Parks, WRIA 9 Lead Entity, Karen Bergeron",email@example.com,Karen Bergeron,,http://waconnect.paladinpanoramic.com/project/250/18854,,Green Duwamish Watershed,555-555-5555,1/1/10,12/31/10,
42nd Ave S Bank Restoration DUW-5,"<h1>42nd Ave S Bank Restoration DUW-5</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/1955"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,42nd Ave S Bank Restoration DUW-5,River/stream/wetlands restoration/conservation/flood protection,7,Relocate the water main presently located under the riverward edge of 42nd Avenue S to the opposite side of the streeet to allow restoration of a more stable bank angle and/or excavation of low vegetated benches along the river.  Large woody debris would be added to the midchannel island by chaining them to the exisitng pilings and strategically placed anchor rocks,-122.280383972,47.4953985535,,,,"City of Tukwila, WRIA 9 Lead Entity, King County Flood Control District",email@example.com,King County Flood Control District,,http://waconnect.paladinpanoramic.com/project/250/1955,,Green Duwamish Watershed,555-555-5555,1/1/05,1/1/15,
"Acquisition, Levee Setback, Floodplain Wetland Project LG-6","<h1>Acquisition, Levee Setback, Floodplain Wetland Project LG-6</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/1956"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,"Acquisition, Levee Setback, Floodplain Wetland Project LG-6",River/stream/wetlands restoration/conservation/flood protection,7,"Acquire and remove auto wrecking yards to create space for a habitat rehabilitation project.  Proposed actions include removing contaminated soils, re-sloping an over-steepened revetment along 78th Avenue S to create a low bench, restoring a floodplain wetland, excavating an off-channel flood refugium for juvenile salmonid rearing habitat, installing large woody debris, and planting native wetland and riparian vegetation.  ",-122.23818125,47.3671859942,,,,"WRIA 9 Lead Entity, Black Diamon, City of ",email@example.com,WRIA 9 Lead Entity,,http://waconnect.paladinpanoramic.com/project/250/1956,,Green Duwamish Watershed,555-555-5555,1/3/07,12/31/15,
Bank Restoration and Revetment Setback DUW-3,"<h1>Bank Restoration and Revetment Setback DUW-3</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/1957"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,Bank Restoration and Revetment Setback DUW-3,River/stream/wetlands restoration/conservation/flood protection,7,"Reshape the revetment at Gateway South at Rivermiles 8.9-8.6 and 8.4-8.2, on the left bank.  A segment of the Green River Train would be relocated westward to allow reshaping of the revetment.  The project would place large woody debris and revegetate the riverbank with native riparian species.",-122.2707141146,47.4896473226,,,,UNLISTED,email@example.com,UNLISTED,,http://waconnect.paladinpanoramic.com/project/250/1957,,Green Duwamish Watershed,555-555-5555,1/1/10,12/31/10,
"Acquisition, Levee Setback Habitat Rehabilitation, LG-13","<h1>Acquisition, Levee Setback Habitat Rehabilitation, LG-13</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/1958"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,"Acquisition, Levee Setback Habitat Rehabilitation, LG-13",River/stream/wetlands restoration/conservation/flood protection,7,"Acquire additional right of way along the river-ward edge of the business park parking lot between river miles 15.3 and 14.7 on the right bank.  The project would include setting back the oversteepened levee, creating bench habitat, installation of large woody debris and planting of native riparian vegetation.  This project would extend downstream from a levee setback project completed in the late 1990's.",-122.2484596843,47.4403094447,,,,WRIA 9 Lead Entity,email@example.com,WRIA 9 Lead Entity,,http://waconnect.paladinpanoramic.com/project/250/1958,,Green Duwamish Watershed,555-555-5555,2/1/09,9/30/10,
Bank Restoration and Revetment Setback DUW-9,"<h1>Bank Restoration and Revetment Setback DUW-9</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/1959"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,Bank Restoration and Revetment Setback DUW-9,River/stream/wetlands restoration/conservation/flood protection,7,"Setback and restore the riverank at rivermiles 6.6 to 5.5 on the left bank. Revegetate the riverbanks with native riparian species.  
",-122.2953255487,47.5053624066,,,,WRIA 9 Lead Entity,email@example.com,WRIA 9 Lead Entity,,http://waconnect.paladinpanoramic.com/project/250/1959,,Green Duwamish Watershed,555-555-5555,1/1/10,12/31/15,
"Black River Marsh, LG-18","<h1>Black River Marsh, LG-18</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/2771"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,"Black River Marsh, LG-18",River/stream/wetlands restoration/conservation/flood protection,7,"This project would improve the confluence of the remnant Black River with the Green/Duwamish as an emergent marsh, increasing nutrient productivity for the surrounding system and improving access for salmonid refuge and rearing.  
",-122.2470223776,47.4769690746,,,,"US Army Corps of Engineers (USACE), King Co Water & Land Res",email@example.com,US Army Corps of Engineers (USACE),,http://waconnect.paladinpanoramic.com/project/250/2771,,Green Duwamish Watershed,555-555-5555,10/30/00,12/26/01,
McSorley Cr Pocket Estuary Restoration Construction,"<h1>McSorley Cr Pocket Estuary Restoration Construction</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/29654"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,McSorley Cr Pocket Estuary Restoration Construction,River/stream/wetlands restoration/conservation/flood protection,7,"McSorley Creek Pocket Estuary is located at Saltwater State Park in Des Moines. McSorley Creek supports spawning coho and chum salmon and cutthroat trout. The pocket estuary and marine shoreline provides rearing habitat for Chinook salmon as well as documented spawning habitat for forage fish.  The development of the park dates to 1926 with the dedication of the park with construction of the facilities, including a historic fire pit, by the Civilian Conservation Crews in the 1930's. More recent alterations include shoreline and streambank armoring to protect a shoreline trail, volleyball court, restroom and picnic facilities.  The restoration project will improve the lower portion of stream, pocket estuary, and nearshore damaged by the fill and shoreline armoring.",-122.3231335817,47.3729037906,,,,"Washington State Parks, WRIA 9 Lead Entity, Puget Sound Acquisition and Restoration, King Co Water & Land Res, SRFB - Salmon Recovery Funding Board, Lisa Lantz, King County",email@example.com,King County,,http://waconnect.paladinpanoramic.com/project/250/29654,,Green Duwamish Watershed,555-555-5555,4/1/11,9/30/12,
"Seahurst Park North Shoreline Restoration, NS-5","<h1>Seahurst Park North Shoreline Restoration, NS-5</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/6998"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,"Seahurst Park North Shoreline Restoration, NS-5","Water access, trails, recreation, parks, open space",11,The Seahurst Park shoreline restoration project in Burien resulted in the removal of bulkheads and restored almost a mile of natural shoreline. Phase one was completed in 2005  phase two was completed in 2014. This award-winning project received the 2014 Futurewise Liveable Community Award and the Seattle chapter of the American Society of Civil Engineers award for Local Outstanding Civil Engineering in 2015.,-122.3606533727,47.4834639416,,,,WRIA 9 Lead Entity,email@example.com,"WRIA 9 Lead Entity, US Army Corps of Engineers (USACE), Washington Department of Fish and Wildlife (WDFW), Steve Roemer, King Conservation District, Estuary Salmon Restoration Program (ESRP), SRFB - Salmon Recovery Funding Board, City of Burien",,http://waconnect.paladinpanoramic.com/project/250/6998,,Green Duwamish Watershed,555-555-5555,1/1/10,1/1/15,
"Burns Creek Rehabilitation at RM 38, MG-10","<h1>Burns Creek Rehabilitation at RM 38, MG-10</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/7523"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,"Burns Creek Rehabilitation at RM 38, MG-10",River/stream/wetlands restoration/conservation/flood protection,7,"The project would improve riparian vegetation, increase in-stream habitat complexity, provide additional riparian cover, and manage fine silt through the following actions:
",-122.1094416374,47.2850413811,,,,"WRIA 9 Lead Entity, US Army Corps of Engineers (USACE), King Co Water & Land Res, King County - WLRD - Green River Basin Steward, Mid-Puget Sound Fish Enh Grp, King County DNR & Parks",email@example.com,King County - WLRD - Green River Basin Steward,,http://waconnect.paladinpanoramic.com/project/250/7523,,Green Duwamish Watershed,555-555-5555,1/1/12,1/1/15,
"Cove Creek Pocket Estuary Restoration on Vashon Island, NS-7","<h1>Cove Creek Pocket Estuary Restoration on Vashon Island, NS-7</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/7533"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,"Cove Creek Pocket Estuary Restoration on Vashon Island, NS-7",River/stream/wetlands restoration/conservation/flood protection,7,"This project would restore the mouth of Cove Creek on the northwestern side of Vashon Island.  Puget Sound Energy owns the property where Cove Creek enters Puget Sound through a bulkhead/culvert combination.  King County owns the two parcels upstream.  There is a road that leads to and ends at the Puget Sound Energy property.  Since Puget Sound Energy would need the road to maintain the equipment on site, the bulkhead/culvert would be replaced with a box culvert and the road would be moved as far back from the shoreline as possible.  It is also possible that a new road crossing could be build onto the Puget Sound Energy property off of the adjacent King County property.  This would have the stream crossing occurring approximately 150 feet upstream of the mouth.  The northern half of the bulkhead, which is not protecting any structures or road, would be removed.  The stream mouth areas would be planted with riparian and marsh vegetation.",-122.5095,47.4543,,,,"King Co Water & Land Res, WRIA 9 Lead Entity, King County - WLRD - Vashon-Maury Island Steward",email@example.com,King County - WLRD - Vashon-Maury Island Steward,,http://waconnect.paladinpanoramic.com/project/250/7533,,Green Duwamish Watershed,555-555-5555,6/1/09,6/20/15,
"Gale and Boundary Creek - Culvert Replacement, UG-3","<h1>Gale and Boundary Creek - Culvert Replacement, UG-3</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/7540"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,"Gale and Boundary Creek - Culvert Replacement, UG-3",River/stream/wetlands restoration/conservation/flood protection,7,"Implement the Gale Creek and Boundary Creek culvert replacement projects together to access three miles of spawning and rearing habitat for Chinook and coho salmon, steelhead trout, and possibly bull trout. The mouth of Gale Creek is located near river mile 67.  Boundary Creek joins Gale Creek about one mile upstream from the Howard Hanson reservoir. This habitat is accessible from the reservoir. The projects include gravel supplementation to provide suitable spawning material and large woody debris placement in order to create resting pools and trap gravel.",-121.7386293411,47.2608710189,,,,"US Army Corps of Engineers (USACE), Tacoma Water, WRIA 9 Lead Entity",email@example.com,US Army Corps of Engineers (USACE),,http://waconnect.paladinpanoramic.com/project/250/7540,,Green Duwamish Watershed,555-555-5555,2/15/11,1/1/15,
Olson Creek Restoration Project Details LG-2,"<h1>Olson Creek Restoration Project Details LG-2</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/7563"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,Olson Creek Restoration Project Details LG-2,River/stream/wetlands restoration/conservation/flood protection,7,"Remove excessive sediment from the creek, creating a two-stage channel that provides additional stream depth during flow conditions. The culvert located under Green River Road would be evaluated and replaced if necessary. Excessive sediment in the channel appears to be from a major storm event that has not re-occurred recently.
",-122.3344912661,47.5676640415,,,,"US Army Corps of Engineers (USACE), City of Auburn",email@example.com,City of Auburn,,http://waconnect.paladinpanoramic.com/project/250/7563,,Green Duwamish Watershed,555-555-5555,1/1/12,1/1/15,
"Feeder Bluff Restoration of Beach Feeding Processes (Beaconsfield), NS-11","<h1>Feeder Bluff Restoration of Beach Feeding Processes (Beaconsfield), NS-11</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/8547"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,"Feeder Bluff Restoration of Beach Feeding Processes (Beaconsfield), NS-11",River/stream/wetlands restoration/conservation/flood protection,7,"Restore an exceptional feeder bluff through bulkhead removal, wood placement and revegetation, along the mainland marine shoreline.  The project is located just north of Marine View Park in Normandy Park. While the upland is not developed, there is a bulkhead along 80% of the shoreline of the bluff. Analysis and preliminary design work is currently being funded.  To the extent possible, the bulkhead would be removed to allow for natural sediment beach feeding processes to occur.",-122.3418626307,47.4127008954,,,,"Nat Fish & Wildlife Foundation, Peter Landry, WRIA 9 Lead Entity, City of Normandy Park, King Conservation District, Forterra",email@example.com,Peter Landry,,http://waconnect.paladinpanoramic.com/project/250/8547,,Green Duwamish Watershed,555-555-5555,1/1/14,12/31/16,
"Gilliam Creek Fish Passage and Riparian Improvements at RM 12.5, LG-16","<h1>Gilliam Creek Fish Passage and Riparian Improvements at RM 12.5, LG-16</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/8565"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,"Gilliam Creek Fish Passage and Riparian Improvements at RM 12.5, LG-16",River/stream/wetlands restoration/conservation/flood protection,7,"This project would eliminate fish passage barriers and improve approximately 2,000 feet of Gilliam Creek to provide for enhanced rearing and refuge habitat while maintaining the current level of flood protection to the area.  The project would add a fish ladder and self-regulating tidegate to the existing creek outlet, which currently consists of a flapgate and apron that prevents fish passage.  The project would widen Gilliam Creek and add gravel, riparian vegetation, and large wood, enhancing approximately 2,000 feet of the creek.
",-122.2518530635,47.463492321,,,,WRIA 9 Lead Entity,email@example.com,WRIA 9 Lead Entity,,http://waconnect.paladinpanoramic.com/project/250/8565,,Green Duwamish Watershed,555-555-5555,1/1/10,12/31/10,
"Hamakami Levee Breach, MG-13","<h1>Hamakami Levee Breach, MG-13</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/8566"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,"Hamakami Levee Breach, MG-13",River/stream/wetlands restoration/conservation/flood protection,7,"This project would enhance the forested wetland by connecting it with inflow and outlfow channels and providing off-channel habitat, which would significantly enhance fish usage of this site.  Large wood placement in the channels and wetland may be phased following the stabilization of sediment input and the establishment of a coniferous riparian cover.",-122.1462257681,47.2854183954,,,,"US Army Corps of Engineers (USACE), King Co Water & Land Res, WRIA 9 Lead Entity, King County - WLRD - Green River Basin Steward",email@example.com,King County - WLRD - Green River Basin Steward,,http://waconnect.paladinpanoramic.com/project/250/8566,,Green Duwamish Watershed,555-555-5555,1/1/10,12/31/10,
"Hawley Revetment, LG-7","<h1>Hawley Revetment, LG-7</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/8567"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,"Hawley Revetment, LG-7",River/stream/wetlands restoration/conservation/flood protection,7,"This suite of projects would be coordinated on lands that are adjacent and/or share a floodplain.  The goals and nature of the projects are similar.  These project are being coordinated by the City of Kent, King County, and the U.S. Army Corps of Engineers.  Sub-projects include:
",-122.2459852695,47.3748088808,,,,"US Army Corps of Engineers (USACE), WRIA 9 Lead Entity, City of Kent",email@example.com,City of Kent,,http://waconnect.paladinpanoramic.com/project/250/8567,,Green Duwamish Watershed,555-555-5555,1/1/10,1/1/15,
"Mill Creek - Lower – Floodplain Wetland Off-Channel Habitat Rehab, LG-7 (Leber)","<h1>Mill Creek - Lower – Floodplain Wetland Off-Channel Habitat Rehab, LG-7 (Leber)</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/8568"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,"Mill Creek - Lower – Floodplain Wetland Off-Channel Habitat Rehab, LG-7 (Leber)",River/stream/wetlands restoration/conservation/flood protection,7,"The re-design of this project includes excavation of over 1,000 l.f. of off-channel habitat (floodplain habitat) on the right bank of Mill Creek and will create 55,000 s.f. of underwater habitat at elevation 30 for use by Chinook during peak outmigrations periods and will restore floodplain functions.  The new off-channel will include numerous large wood debris structures, removal of invasive vegetation, native riparian and upland plantings.  The City and Stakeholders met to discuss pre-liminary design and revised the proposal which will preserve the exisitng mature trees along the banks of Mill Creek and the Green River and meets the majority of the original objectives of the project.",-122.2459959984,47.3686182591,,,,"SRFB - Salmon Recovery Funding Board, WRIA 9 Lead Entity, City of Kent",email@example.com,City of Kent,,http://waconnect.paladinpanoramic.com/project/250/8568,,Green Duwamish Watershed,555-555-5555,1/1/17,1/1/20,
